day,avg
2023-08-13 00:00:00-05,35.5510204081632653
2023-08-14 00:00:00-05,52.5102040816326531
2023-08-15 00:00:00-05,72.7142857142857143
2023-08-16 00:00:00-05,81.1111111111111111
2023-08-17 00:00:00-05,53.0204081632653061
2023-08-18 00:00:00-05,50.8453608247422680
2023-08-19 00:00:00-05,46.0900000000000000
2023-08-20 00:00:00-05,40.5876288659793814
2023-08-21 00:00:00-05,53.4141414141414141
2023-08-22 00:00:00-05,54.5773195876288660
2023-08-23 00:00:00-05,55.0000000000000000
2023-08-24 00:00:00-05,63.5918367346938776
2023-08-25 00:00:00-05,70.4040404040404040
2023-08-26 00:00:00-05,67.3775510204081633
2023-08-27 00:00:00-05,49.9591836734693878
2023-08-28 00:00:00-05,51.7100000000000000
2023-08-29 00:00:00-05,72.1546391752577320
2023-08-30 00:00:00-05,70.3535353535353535
2023-08-31 00:00:00-05,74.9693877551020408
2023-09-01 00:00:00-05,79.9895833333333333
2023-09-02 00:00:00-05,74.5612244897959184
2023-09-03 00:00:00-05,57.0693069306930693
2023-09-04 00:00:00-05,56.7835051546391753
2023-09-05 00:00:00-05,85.7857142857142857
2023-09-06 00:00:00-05,75.2474226804123711
2023-09-07 00:00:00-05,71.3814432989690722
2023-09-08 00:00:00-05,57.0202020202020202
2023-09-09 00:00:00-05,46.3367346938775510
2023-09-10 00:00:00-05,38.2525252525252525
2023-09-11 00:00:00-05,66.1111111111111111
2023-09-12 00:00:00-05,54.0412371134020619
2023-09-13 00:00:00-05,39.4788732394366197
2023-09-14 00:00:00-05,55.3870967741935484
2023-09-15 00:00:00-05,50.5567010309278351
2023-09-16 00:00:00-05,53.2680412371134021
2023-09-17 00:00:00-05,51.6224489795918367
2023-09-18 00:00:00-05,75.4948453608247423
2023-09-19 00:00:00-05,69.0000000000000000
2023-09-20 00:00:00-05,40.0736842105263158
2023-09-21 00:00:00-05,41.5698924731182796
2023-09-22 00:00:00-05,37.4130434782608696
2023-09-23 00:00:00-05,34.0618556701030928
2023-09-24 00:00:00-05,47.5937500000000000
2023-09-25 00:00:00-05,32.9746835443037975
2023-09-26 00:00:00-05,32.5857142857142857
2023-09-27 00:00:00-05,52.1911764705882353
2023-09-28 00:00:00-05,52.0900000000000000
2023-09-29 00:00:00-05,33.7400000000000000
2023-09-30 00:00:00-05,33.8144329896907216
2023-10-01 00:00:00-05,38.5773195876288660
2023-10-02 00:00:00-05,60.3838383838383838
2023-10-03 00:00:00-05,35.9072164948453608
2023-10-04 00:00:00-05,38.7777777777777778
2023-10-05 00:00:00-05,36.0447761194029851
2023-10-06 00:00:00-05,37.1395348837209302
2023-10-07 00:00:00-05,34.2439024390243902
2023-10-08 00:00:00-05,37.6823529411764706
2023-10-09 00:00:00-05,35.8736842105263158
2023-10-10 00:00:00-05,36.1758241758241758
2023-10-11 00:00:00-05,30.9156626506024096
2023-10-12 00:00:00-05,34.2750000000000000
2023-10-13 00:00:00-05,36.1363636363636364
2023-10-14 00:00:00-05,42.4500000000000000
2023-10-15 00:00:00-05,42.0700000000000000
2023-10-16 00:00:00-05,47.5670103092783505
2023-10-17 00:00:00-05,88.3917525773195876
2023-10-18 00:00:00-05,43.6896551724137931
2023-10-19 00:00:00-05,22.1500000000000000
2023-10-20 00:00:00-05,25.9696969696969697
2023-10-21 00:00:00-05,30.6020408163265306
2023-10-22 00:00:00-05,26.0500000000000000
2023-10-23 00:00:00-05,56.9900000000000000
2023-10-24 00:00:00-05,58.8979591836734694
2023-10-25 00:00:00-05,51.8350515463917526
2023-10-26 00:00:00-05,52.3750000000000000
2023-10-27 00:00:00-05,39.5714285714285714
2023-10-28 00:00:00-05,37.2164948453608247
2023-10-29 00:00:00-05,24.8367346938775510
2023-10-30 00:00:00-05,28.6494845360824742
2023-10-31 00:00:00-05,49.4040404040404040
2023-11-01 00:00:00-05,49.7448979591836735
2023-11-02 00:00:00-05,57.3168316831683168
2023-11-03 00:00:00-05,54.6530612244897959
2023-11-04 00:00:00-05,49.0700000000000000
2023-11-05 00:00:00-05,36.8543689320388350
2023-11-06 00:00:00-06,48.1900000000000000
2023-11-07 00:00:00-06,39.6900000000000000
2023-11-08 00:00:00-06,67.7070707070707071
2023-11-09 00:00:00-06,62.4948453608247423
2023-11-10 00:00:00-06,71.2040816326530612
2023-11-11 00:00:00-06,41.6767676767676768
2023-11-12 00:00:00-06,23.8969072164948454
2023-11-13 00:00:00-06,23.4193548387096774
