#day,minerva,gm2,uboone,mu2e,icarus,nova,lqcd,dune,total
2022-08-14 00:00:00,    .00,    .01,   4.15,    .00,    .00,   5.51,    .00,  29.27,  43.45
2022-08-15 00:00:00,    .01,   5.48,    .05,    .00,    .00,  16.65,   5.60,   1.25,  33.44
2022-08-16 00:00:00,    .02,  43.03,    .01,    .00,    .04,  38.85,  14.83,   2.50, 103.29
2022-08-17 00:00:00,    .01,  45.42,    .01,    .05,   5.83,   4.41,   5.56,   2.34,  67.03
2022-08-18 00:00:00,    .02,  23.61,    .13,    .57,   7.34,    .24,    .00,   3.91,  40.03
2022-08-19 00:00:00,    .01,    .21,    .02,    .12,    .00,   1.07,    .22,  62.31,  68.81
2022-08-20 00:00:00,    .05,    .01,    .05,    .03,  18.38,    .74,    .33,    .30,  24.02
2022-08-21 00:00:00,    .03,    .01,    .03,    .15,  45.87,    .80,    .00,    .30,  51.03
2022-08-22 00:00:00,    .04,  14.62,    .67,    .25,  32.31, 145.38,    .00,    .29, 197.19
2022-08-23 00:00:00,    .01,  50.12,    .06,    .05,  32.37,  16.09,    .00,   2.20, 104.33
2022-08-24 00:00:00,    .01,  30.75,    .07,    .11,  22.55,  53.71,   9.31,   9.34, 127.78
2022-08-25 00:00:00,    .01,   5.82,    .01,    .00,  30.61,  88.04,   5.95,  28.87, 162.76
2022-08-26 00:00:00,    .03,  23.73,    .01,    .00,  29.06,  16.57,    .00,  43.90, 116.95
2022-08-27 00:00:00,    .00,    .34,    .61,    .23,    .00,   2.63,   7.42,  23.91,  38.37
2022-08-28 00:00:00,    .04,   1.02,    .14,    .00,    .00,   5.01,    .00,    .00,   9.88
2022-08-29 00:00:00,    .01,  31.69,    .26,    .26,    .00,  93.76,    .00,   1.23, 130.92
2022-08-30 00:00:00,    .02, 117.73,    .18,    .01,    .00,   7.39,   7.42,   3.15, 138.90
2022-08-31 00:00:00,    .01, 123.38,    .30,    .15,    .00,   2.17,  14.83,   1.16, 144.92
2022-09-01 00:00:00,    .01, 118.28,    .01,    .00,  38.30,  31.54,    .00,    .82, 192.75
2022-09-02 00:00:00,    .00, 106.23,    .00,    .15,  39.79,  15.72,    .00,    .00, 165.89
2022-09-03 00:00:00,    .01,  87.62,    .01,    .00,  42.15,  10.53,  13.20,    .00, 157.07
2022-09-04 00:00:00,    .03,  76.00,    .00,    .00,  39.22,  34.48,  14.83,    .00, 167.73
2022-09-05 00:00:00,    .05,  19.62,    .00,    .04,    .00,  63.72,  11.12,    .01,  97.53
2022-09-06 00:00:00,    .05,   2.77,    .00,    .00,    .00,   2.87,   5.56,   1.48,  16.68
2022-09-07 00:00:00,    .00,    .02,    .01,    .00,   7.39,   3.99,    .56,   1.73,  16.90
2022-09-08 00:00:00,    .01,   8.83,    .01,    .04,  30.01,  44.27,  29.32,   1.38, 117.92
2022-09-09 00:00:00,    .02,  25.84,    .58,    .00,  18.25,   7.52,    .09,   2.07,  57.42
2022-09-10 00:00:00,    .03,  67.26,    .00,    .00,  38.68,  30.40,    .00,    .83, 141.43
2022-09-11 00:00:00,    .00,  54.99,    .00,    .00,  44.01,   3.15,    .00,   1.11, 106.90
2022-09-12 00:00:00,    .00,  65.54,    .29,    .00,  38.16,  59.45,  11.12,    .48, 178.85
2022-09-13 00:00:00,    .04,  58.98,    .42,    .00,  42.36,  60.53,  22.31,    .00, 189.35
2022-09-14 00:00:00,    .01,  58.65,    .34,    .00,  17.57, 127.48,   3.71,    .53, 212.84
2022-09-15 00:00:00,    .00,  61.65,    .34,    .00,    .00,  91.71,    .00,    .67, 159.44
2022-09-16 00:00:00,    .02, 101.70,   1.09,    .00,  27.35,  88.12,    .00,   2.45, 225.50
2022-09-17 00:00:00,    .00,  58.38,   1.41,    .00,  13.70,   1.77,    .00,    .00,  79.78
2022-09-18 00:00:00,    .00,  54.96,   1.27,    .00,    .00,   1.92,    .00,    .00,  63.08
2022-09-19 00:00:00,    .03,  55.46,   1.68,    .00,    .00,  76.45,    .09,    .13, 139.35
2022-09-20 00:00:00,    .04,   9.59,   1.14,    .07,    .01,  52.88,    .00,    .01,  66.02
2022-09-21 00:00:00,    .02,   1.76,   2.07,    .00,    .02, 126.65,    .09,    .67, 132.04
2022-09-22 00:00:00,    .00,  67.04,    .40,    .02,    .02, 107.04,    .00,    .24, 175.65
2022-09-23 00:00:00,    .00,  85.67,   1.66,    .00,    .00,  62.54,    .02,    .18, 150.93
2022-09-24 00:00:00,    .00,    .78,    .52,    .00,    .00,   2.14,    .00,    .00,   5.19
2022-09-25 00:00:00,    .00,  68.59,    .56,    .00,    .00,   1.83,    .00,    .35,  72.61
2022-09-26 00:00:00,    .02,  45.26,    .00,    .00,    .00,  62.69,    .00,   1.43, 110.66
2022-09-27 00:00:00,    .06,  26.04,    .00,    .00,    .00,  17.27,    .09,    .92,  45.64
2022-09-28 00:00:00,    .04,   5.88,    .00,    .00,    .00,  75.56,    .18,   6.96,  90.08
2022-09-29 00:00:00,    .10,  22.88,    .00,    .00,    .89,  37.23,    .07,   8.14,  70.33
2022-09-30 00:00:00,    .78,  33.75,    .00,    .00,    .16,  80.22,    .24,  21.38, 138.20
2022-10-01 00:00:00,   1.05,    .09,    .00,    .00,    .21,  66.59,    .00,  14.23,  83.41
2022-10-02 00:00:00,   3.46,    .00,    .00,    .00,    .00,   2.03,    .00,   4.58,  11.37
2022-10-03 00:00:00,    .43,   2.46,    .00,    .01,    .22, 121.81,    .00,   1.58, 127.44
2022-10-04 00:00:00,   1.44,   1.71,    .54,    .00,    .35,  96.17,    .09,    .11, 101.53
2022-10-05 00:00:00,    .04,    .05,   3.28,    .00,    .10,    .67,  13.86,    .24,  19.53
2022-10-06 00:00:00,   2.54,    .40,   4.16,    .03,   2.68,   6.35,  27.09,   1.70,  45.91
2022-10-07 00:00:00,   1.11,    .83,    .72,    .00,  25.92,   1.37,    .09,    .34,  31.73
2022-10-08 00:00:00,    .00,    .19,    .46,    .00,  25.88,    .82,    .00,    .00,  28.61
2022-10-09 00:00:00,    .09,    .22,    .46,    .00,  23.42,   1.96,    .00,    .00,  27.53
2022-10-10 00:00:00,    .01,    .20,    .82,    .00,  17.68,   1.06,    .00,    .26,  21.21
2022-10-11 00:00:00,    .01,    .22,   1.26,    .00,  18.13,    .76,  13.35,    .12,  35.37
2022-10-12 00:00:00,    .00,  24.18,   2.97,    .00,   4.44,    .58,  18.54,    .00,  51.94
2022-10-13 00:00:00,    .00,   2.03,   1.37,    .00,   7.00,   1.16,    .08,   1.72,  14.55
2022-10-14 00:00:00,    .00,  27.59,    .85,    .00,   5.55,    .78,    .00,   2.85,  38.54
