day,minerva,gm2,uboone,mu2e,icarus,nova,lqcd,dune,total
2022-08-16 00:00:00,35,17769,15020,97,1144,345,3,222,34650
2022-08-17 00:00:00,98,23161,10830,31,645,347,103,667,35882
2022-08-18 00:00:00,610,43041,3455,6,19,546,0,1550,49230
2022-08-19 00:00:00,1479,26277,15238,694,669,1416,1,4390,50175
2022-08-20 00:00:00,779,24050,17997,861,502,1081,4,2948,48241
2022-08-21 00:00:00,70,26880,11409,798,96,1518,0,1871,42648
2022-08-22 00:00:00,11610,23203,10007,0,12,4722,0,909,50475
2022-08-23 00:00:00,0,35727,18527,1345,1,6425,0,661,62706
2022-08-24 00:00:00,0,38619,11374,5351,768,3733,0,2520,62386
2022-08-25 00:00:00,3797,14169,4366,1,696,2144,0,1050,26236
2022-08-26 00:00:00,828,23322,5828,709,165,1495,0,6647,39006
2022-08-27 00:00:00,998,29898,6605,103,382,959,0,72,39024
2022-08-28 00:00:00,2631,17075,4812,1359,497,862,3,66,27316
2022-08-29 00:00:00,8881,27363,5668,152,32,904,0,64,43085
2022-08-30 00:00:00,1213,35901,11406,17,19,8753,0,17,57335
2022-08-31 00:00:00,1761,37764,6230,49,9,4898,0,1043,51763
2022-09-01 00:00:00,5543,38356,4154,298,11,4352,0,8834,61564
2022-09-02 00:00:00,7093,24421,5653,416,678,9623,0,8421,56332
2022-09-03 00:00:00,123,41355,11749,431,5,5220,0,4900,63793
2022-09-04 00:00:00,784,36352,7520,0,5,2528,0,10067,57262
2022-09-05 00:00:00,5166,2805,17253,178,9,5485,0,21648,52557
2022-09-06 00:00:00,2578,4086,16741,140,52,8239,3,11357,43644
2022-09-07 00:00:00,3,18799,10385,1,1,6599,100,1011,36941
2022-09-08 00:00:00,1834,6788,16832,8,380,2788,100,3,30267
2022-09-09 00:00:00,2795,42282,4357,0,0,1169,0,12,52177
2022-09-10 00:00:00,80,44145,458,6,0,45,6,15,44767
2022-09-11 00:00:00,2197,32695,9398,9,384,2840,0,1150,48900
2022-09-12 00:00:00,6117,29289,9525,55,318,2116,0,18396,65897
2022-09-13 00:00:00,2960,34535,13333,246,60,262,0,6142,58599
2022-09-14 00:00:00,391,36455,6081,0,0,15,0,1289,44646
2022-09-15 00:00:00,324,24993,9942,148,948,66,100,410,37075
2022-09-16 00:00:00,97,33787,5771,2,145,48,0,133,39985
2022-09-17 00:00:00,519,31291,7197,20,448,180,0,1864,41618
2022-09-18 00:00:00,607,18222,12352,1,901,509,0,6,32611
2022-09-19 00:00:00,487,17603,8736,39,895,237,0,448,28458
2022-09-20 00:00:00,1450,17514,60117,0,631,299,1,100,80147
2022-09-21 00:00:00,868,20585,20495,10,1423,728,6,13,44205
2022-09-22 00:00:00,251,16773,5158,35,499,489,7,8,23243
2022-09-23 00:00:00,1509,26243,9270,217,2107,528,3,97,40115
2022-09-24 00:00:00,1170,25929,6529,65,925,1235,8,169,36224
2022-09-25 00:00:00,97,29029,2258,29,589,474,3,373,32871
2022-09-26 00:00:00,933,23499,27726,161,1878,720,3,652,55847
2022-09-27 00:00:00,694,25831,13413,426,1293,526,23,2326,45242
2022-09-28 00:00:00,796,27136,9561,752,873,629,12,2768,42975
2022-09-29 00:00:00,407,26564,5492,156,1892,321,21,8661,43611
2022-09-30 00:00:00,1597,23299,21851,440,639,485,10,2877,51431
2022-10-01 00:00:00,1563,21828,15898,348,2438,427,25,414,43119
2022-10-02 00:00:00,2483,23731,5794,638,1198,217,0,1580,35708
2022-10-03 00:00:00,4287,23603,15908,295,1678,326,7,1368,47575
2022-10-04 00:00:00,18553,19236,18020,617,1797,283,27,298,58895
2022-10-05 00:00:00,14832,19395,4471,73,500,226,1,3234,42741
2022-10-06 00:00:00,5923,18754,3841,279,1949,280,4,409,31465
2022-10-07 00:00:00,6406,16458,5166,201,1187,627,131,2551,32737
2022-10-08 00:00:00,4839,16670,3756,156,1182,442,0,886,27931
2022-10-09 00:00:00,13130,9585,5336,269,1668,910,3,286,31203
2022-10-10 00:00:00,10127,29945,3003,99,528,657,0,199,44576
2022-10-11 00:00:00,15659,93694,4638,251,1776,1344,10,492,117884
2022-10-12 00:00:00,16616,82245,2848,243,1737,798,278,294,105069
2022-10-13 00:00:00,14356,85752,8633,319,1746,723,12,587,112180
2022-10-14 00:00:00,29977,82344,7091,756,1510,1650,233,1256,125144
2022-10-15 00:00:00,57348,64624,9245,772,1244,1462,290,5034,142848
2022-10-16 00:00:00,11983,26998,3289,166,1460,1013,50,227,45583
(62 rows)
